Description,TotalSalesDollars,ProfitMargin
.nparalleled Svgn Blanc,1094.6300000000003,0.29978166138329865
10 Span Cab Svgn CC,2703.8899999999976,0.20937612107001333
10 Span Chard CC,3325.5599999999995,0.2780644462887456
10 Span Pnt Gris Monterey Cy,2082.2200000000007,0.3222618167148528
10 Span Pnt Nr CC,2441.7399999999984,0.2583608410395863
12 Days of Pearls Gift Set,309.6900000000001,0.976783234847751
13th Colony Sthrn Corn Whsky,359.82,0.42446223111555786
14 Hands Moscato,798.1500000000004,0.2851218442648628
14 Hands Red Blend Ltd,9570.419999999967,0.45945945945945765
14 Hands Rsl Wash,531.4800000000002,0.22781666290359037
1792 Full Proof Bourbon,3576.2099999999964,0.2450862784903566
1792 Port Finish Bourbon,6998.249999999978,0.23080770192547898
1792 Single Barrel Bourbon,2445.3899999999985,0.2144852150372737
1792 Sweet Wheat Bourbon,3170.1099999999974,0.21418815119979995
1800 Select Silver Tequila,2129.29,0.8944577770054807
19 Crimes Warden Red,2823.869999999996,0.23088173322426206
2 Copas Spain White,119.88,0.3333333333333333
2 Gingers Irish Whiskey,321.86,0.40887342322749015
20 Mile 09 Brdx Superior,1949.4800000000002,0.8376900506801814
24 Knots Pnt Nr,9393.619999999917,0.47989699391714347
3 Blind Moose Cab Svgn Cal,6344.469999999955,0.5508025099023214
3 Blind Moose Chard Cal,6058.729999999953,0.5089267882873107
3 Blind Moose Merlot Cal,6951.849999999943,0.5614246567460422
3 Blind Moose Pnt Grigio Cal,7285.509999999932,0.5637367871295177
4 Orange Vodka,483.78000000000003,0.8590268303774443
44* North Huckleberry Vodka,1057.0300000000002,0.1287664493912189
44* North Magic Valley Vodka,1349.4000000000003,0.5384615384615387
900 Grapes Svgn Bl,59.94,0.3243243243243243
A Bichot Adelie Mercury,815.7600000000001,0.7203834461116014
A Bichot Ch Gris Nuits St Ge,648.89,0.9373083265268383
A Bichot Chablis Vaucopins,1623.4400000000003,0.9633001527620362
A Bichot Chard Bourgogne,7452.229999999951,0.19433646036152366
A Bichot Clos Marechaudes,539.94,0.6774086009556618
A Bichot Cremant Brut Rose,3402.2699999999927,0.159837402675271
A Bichot Merc Champs M,515.88,0.9455299682096611
A Bichot Morgon Les Charmes,9209.11999999995,0.8425701912886348
A Bichot Petit Chablis,8693.329999999962,0.3381535038932119
A Bichot St-Amour Champlette,6804.389999999967,0.7668813809908005
A Innocenti Nonni Cab Svgn,623.5200000000001,0.17725173210161677
A Proper Pink,4442.57999999998,0.2956120092378722
A by Acacia Red Cal,143.88,0.4520433694745621
A to Z Rose,798.5300000000001,0.14342604535834605
A to Z Rsl,1002.4100000000003,0.33313713949382007
Aalto Ribera Del Duero Red,49.99,0.3242648529705941
Aberfeldy 21 Yr Single Malt,2879.819999999999,0.4322839621920812
Aberfeldy Single Cask,9459.619999999999,0.11204678412029256
Absolut Cilantro,4164.719999999998,0.42735165869494207
Absolut Elyx,674.85,0.1794324664740313
Absolut Grapevine Vodka,5672.09999999997,0.8243754517727112
Absolut Hibiskus,153.93,0.27557980900409285
Absolut Orient Apple Vodka,119.93999999999998,0.8765215941303985
Absolut Peppar Vodka,239.88,0.19739036184759043
Absolut Wild Tea,901.8800000000003,0.8392801703109061
Acacia Winery Pnt Nr Carnero,447.84000000000003,0.03499017506252249
Achaval Ferrer Cab Svgn,229.90000000000003,0.1501087429317095
Acorn Alegria Vyds Cab Franc,2944.939999999998,0.5216608827344527
Acorn Cve Alegria Russ Syrah,2780.009999999995,0.6674472393984189
Acorn Dolcetto Alegria RRV,3023.009999999995,0.5729752796054257
Acorn Medley Alegria RRV,1934.2499999999993,0.8508517513248028
Acorn Sangiovese Alegria RRV,8434.979999999974,0.3276996507401301
Adaption by Odette Chard,3294.969999999997,0.8147327593270953
Adelsheim Auxerrois Ribbon S,901.5900000000003,0.7857340919930347
Adelsheim Bryan Creek Pnt Nr,2449.649999999999,0.7714285714285714
Adelsheim Caitlins Rsv Chard,1639.5900000000001,0.6198561835580847
Adelsheim Chard Willmete Vly,1813.2400000000005,0.45520725331450895
Adelsheim Elizbth RSV Pnt Nr,2561.4499999999994,0.64866384274532
Adissat Cotes du Rhone,1244.1700000000005,0.8962440824003152
